diagnosis_code,diagnosis_desc,fce,admissions,emergency,waiting_list,mean_los_days,mean_age,year,baseline_admissions,baseline_waiting,pct_change_admissions,pct_change_waiting,backlog_trap
A00-A09,Intestinal infectious diseases,39481,39481,32853,3095,3.6,19,1998,159034,35016,-75.17449099,-91.16118346,FALSE
A15-A19,Tuberculosis,4951,4951,2308,1025,21.2,45,1998,2225,529,122.5168539,93.76181474,FALSE
A20-A49,Certain bacterial diseases,21425,21425,14635,604,12,43,1998,156114,2491,-86.27605468,-75.75270976,FALSE
A50-A64,Infections with predominantly sexual mode of transmission,3373,3373,565,2471,3.8,36,1998,2405,1411,40.24948025,75.12402551,FALSE
A65-A79,Other infectious and parasitic disorders,330,330,174,88,17.9,34,1998,662,161,-50.1510574,-45.34161491,FALSE
A80-A89,Viral infections of the central nervous system,2202,2202,1603,74,12.4,30,1998,3913,86,-43.7260414,-13.95348837,FALSE
A90-A99,Arthropod-borne viral fevers & viral haemorrhagic fevers,84,84,67,1,4.5,34,1998,192,6,-56.25,-83.33333333,FALSE
B00-B09,Viral infections characterized by skin & mucous mem. lesns.,13075,13075,7310,4405,5.3,34,1998,17456,3352,-25.09738772,31.41408115,FALSE
B15-B19,Viral hepatitis,4654,4654,1331,2352,4.8,41,1998,2394,532,94.40267335,342.1052632,FALSE
B20-B24,Human imrnunodeficiency virus [HIV] disease,4171,4171,1479,1051,11.7,37,1998,,,,,FALSE
B25-B34,Other viral diseases,40232,40232,37820,319,1.7,13,1998,118995,840,-66.19017606,-62.02380952,FALSE
B35-B49,Mycoses,3427,3427,1388,1108,6.8,43,1998,8470,3847,-59.53955136,-71.19833637,FALSE
B50-B64,Protozoal diseases,2495,2495,1866,182,4.6,33,1998,2209,213,12.94703486,-14.55399061,FALSE
B65-B83,Helminthiases,504,504,285,154,4.3,27,1998,887,466,-43.17925592,-66.9527897,FALSE
B85-B99,Other infectious and parasitic diseases,1283,1283,825,219,6.9,33,1998,3536,78,-63.71606335,180.7692308,FALSE
C00-C14,Malignant neoplasm of liporal cavity and pharynx,13093,13093,1663,6296,10.1,59,1998,,,,,FALSE
C15-C26,Malignant neoplasm of digestive organs,223104,223104,29776,88249,11.7,65,1998,268681,101300,-16.96323893,-12.88351431,FALSE
C30-C39,Malignant neoplasms of respiratory & intrathoracic organs,82914,82914,21887,29068,9.6,66,1998,115023,37403,-27.91528651,-22.28430875,FALSE
C40-C41,Malignant neoplasm of bone and articular cartilage,4965,4965,959,1974,7.4,28,1998,7261,1781,-31.62098884,10.83660865,FALSE
C43-C44,Malignant neoplasms of skin,55479,55479,1272,49051,5.4,69,1998,154472,144205,-64.08475322,-65.98522936,FALSE
C45-C49,Malignant neoplasms of mesothelial and soft tissue,10499,10499,2260,4294,8.2,51,1998,23035,7390,-54.42153245,-41.89445196,FALSE
C51-C58,Malignant neoplasms of female genital organs,51800,51800,6692,23828,7.8,60,1998,69426,28271,-25.3881831,-15.71575112,FALSE
C60-C63,Malignant neoplasms of male genital organs,40568,40568,8195,17842,8.6,66,1998,88825,48164,-54.32817337,-62.95573457,FALSE
C64-C68,Malignant neoplasms of urinary tract,94543,94543,6979,51514,6.4,69,1998,90988,49193,3.90710863,4.718150956,FALSE
C69-C72,"Malignant neoplasms of eye, brain & other parts of CNS",16788,16788,4540,4374,11.6,39,1998,21270,6187,-21.0719323,-29.30337805,FALSE
C81-C96,"Malignant neoplasms of lymphoid, haematopoietic & rel. tiss.",197991,197991,27066,82078,9,51,1998,387191,80770,-48.86477217,1.619413148,FALSE
D00-D48,In situ & benign neoplasms and others of uncertainty,280180,280180,14944,225811,5.2,52,1998,430698,299287,-34.94745738,-24.55034799,FALSE
D50-D64,Anaemias,105882,105882,32408,42467,7.1,57,1998,299823,136373,-64.68516425,-68.85967164,FALSE
D65-D89,Diseases of the blood and blood-forming organs,47173,47173,12860,19786,5.2,40,1998,94222,20255,-49.93419796,-2.31547766,FALSE
E00-E07,Disorders of thyroid gland,11161,11161,2076,7200,6.5,52,1998,16596,10399,-32.74885515,-30.76257332,FALSE
E10-E14,Diabetes Mellitus,71877,71877,29014,28347,10.4,55,1998,56931,4961,26.25283238,471.3968958,FALSE
E15-E90,Endocrine nutritional and metabolic diseases,60034,60034,22857,21803,8.3,44,1998,236419,51871,-74.60694783,-57.96687937,FALSE
F00-F03,Dementia,31816,31816,14982,3044,71.2,80,1998,10270,332,209.7955209,816.8674699,FALSE
F04-F09,Other organic including symptomatic mental disorders,5049,5049,3211,285,47.7,68,1998,23314,2250,-78.3434846,-87.33333333,FALSE
F10-F19,Mental and behavioural disorders due to psychoactive subst.,42427,42427,29429,5374,12.5,38,1998,50997,753,-16.80491009,613.6786189,FALSE
F20-F29,"Schizophrenia, schizotypal and delusional disorders",38517,38517,26277,1905,121.1,41,1998,24319,1107,58.3823348,72.08672087,FALSE
F30-F39,Mood [affective] disorders,57376,57376,40029,3316,46.1,51,1998,23171,1137,147.6198697,191.644679,FALSE
F40-F69,"Neurotic, bahavioural & personality disorders",33404,33404,20760,4824,27.1,42,1998,,,,,FALSE
F70-F79,Mental retardation,22665,22665,2583,7964,199.5,22,1998,623,65,3538.041734,12152.30769,FALSE
F80-F99,Other mental and behavioural disorders,11785,11785,4554,2830,101.2,33,1998,4935,1402,138.804458,101.8544936,FALSE
G00-G09,Inflammatory diseases of the central nervous system,4147,4147,2347,324,14,30,1998,7120,708,-41.75561798,-54.23728814,FALSE
G20-G26,Extrapyramidal & movement disorders (incl. Parkinsonism).,14291,14291,5592,4642,27.2,67,1998,15816,4500,-9.642134547,3.155555556,FALSE
G35-G37,Demyelinating diseases (incl Multiple Sclerosis) of the CNS.,17443,17443,3957,8944,15.2,45,1998,49768,13001,-64.95137438,-31.2052919,FALSE
G40-G47,Epilepsymigraine & other episodic disorders,137397,137397,58197,61233,5.6,50,1998,,,,,FALSE
G80-G83,Cerebral palsy & other paralytic syndromes,17715,17715,4953,4605,34.8,48,1998,13889,5162,27.54697962,-10.79039132,FALSE
